i,j
6,20
10,20
12,20
13,20
15,20
16,20
18,20
19,20
20,20
22,20
23,20
24,20
25,20
26,20
27,20
29,20
30,20
31,20
32,20
33,20
35,20
37,20
39,20
40,20
42,20
43,20
44,20
48,20
49,20
50,20
5,19
9,19
10,19
11,19
14,19
18,19
19,19
21,19
22,19
23,19
24,19
25,19
27,19
28,19
31,19
32,19
34,19
36,19
38,19
39,19
41,19
44,19
45,19
48,19
49,19
64,19
2,18
4,18
10,18
12,18
13,18
15,18
16,18
17,18
18,18
19,18
21,18
22,18
24,18
25,18
26,18
27,18
28,18
29,18
30,18
31,18
32,18
35,18
36,18
38,18
39,18
44,18
46,18
52,18
58,18
64,18
69,18
9,17
14,17
15,17
17,17
18,17
19,17
20,17
21,17
22,17
24,17
25,17
27,17
28,17
30,17
31,17
33,17
34,17
38,17
40,17
42,17
43,17
44,17
48,17
51,17
53,17
54,17
1,16
2,16
7,16
8,16
10,16
11,16
16,16
17,16
18,16
19,16
20,16
21,16
22,16
23,16
24,16
25,16
26,16
27,16
28,16
32,16
33,16
34,16
36,16
37,16
38,16
39,16
40,16
42,16
43,16
44,16
48,16
53,16
56,16
9,15
10,15
11,15
12,15
16,15
18,15
19,15
20,15
22,15
23,15
25,15
26,15
27,15
28,15
29,15
30,15
32,15
33,15
34,15
36,15
37,15
38,15
48,15
49,15
51,15
52,15
54,15
66,15
79,15
83,15
2,14
5,14
13,14
14,14
17,14
18,14
19,14
20,14
23,14
24,14
25,14
27,14
28,14
29,14
30,14
31,14
32,14
33,14
34,14
35,14
39,14
40,14
41,14
42,14
43,14
44,14
47,14
48,14
51,14
58,14
61,14
63,14
66,14
2,13
4,13
5,13
8,13
10,13
13,13
15,13
16,13
17,13
20,13
21,13
22,13
23,13
24,13
26,13
27,13
29,13
31,13
32,13
33,13
35,13
38,13
39,13
40,13
41,13
43,13
44,13
45,13
47,13
48,13
50,13
54,13
59,13
6,12
9,12
10,12
13,12
14,12
15,12
17,12
18,12
19,12
20,12
21,12
22,12
24,12
25,12
26,12
27,12
28,12
29,12
30,12
31,12
33,12
35,12
36,12
42,12
46,12
50,12
51,12
56,12
59,12
61,12
64,12
1,11
3,11
7,11
9,11
10,11
11,11
12,11
13,11
14,11
15,11
17,11
18,11
19,11
21,11
25,11
26,11
27,11
28,11
29,11
30,11
31,11
32,11
34,11
35,11
36,11
38,11
40,11
41,11
45,11
47,11
48,11
49,11
55,11
57,11
60,11
65,11
66,11
4,10
5,10
9,10
11,10
13,10
14,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
27,10
28,10
32,10
35,10
36,10
37,10
38,10
42,10
43,10
46,10
48,10
50,10
51,10
53,10
64,10
70,10
7,9
10,9
11,9
12,9
13,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
23,9
24,9
25,9
27,9
29,9
30,9
31,9
32,9
33,9
37,9
43,9
47,9
50,9
51,9
52,9
72,9
6,8
12,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
26,8
27,8
28,8
29,8
30,8
31,8
32,8
33,8
35,8
36,8
40,8
41,8
46,8
49,8
51,8
52,8
59,8
67,8
70,8
1,7
8,7
11,7
13,7
14,7
16,7
17,7
19,7
20,7
21,7
22,7
23,7
24,7
25,7
26,7
27,7
29,7
30,7
31,7
33,7
38,7
39,7
41,7
42,7
43,7
44,7
45,7
49,7
50,7
57,7
58,7
59,7
67,7
80,7
87,7
2,6
8,6
9,6
11,6
12,6
14,6
16,6
17,6
20,6
21,6
22,6
26,6
27,6
29,6
30,6
33,6
34,6
35,6
36,6
38,6
40,6
42,6
43,6
45,6
52,6
56,6
69,6
77,6
2,5
6,5
7,5
10,5
11,5
12,5
13,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
26,5
30,5
31,5
32,5
33,5
34,5
35,5
40,5
43,5
50,5
59,5
61,5
62,5
2,4
6,4
7,4
9,4
11,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
30,4
31,4
33,4
34,4
35,4
36,4
37,4
41,4
44,4
49,4
50,4
52,4
56,4
59,4
78,4
2,3
8,3
11,3
13,3
14,3
15,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
29,3
31,3
32,3
34,3
35,3
39,3
42,3
45,3
46,3
49,3
51,3
52,3
53,3
3,2
4,2
7,2
10,2
11,2
12,2
15,2
16,2
17,2
18,2
19,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
30,2
31,2
32,2
35,2
36,2
37,2
41,2
42,2
43,2
44,2
46,2
49,2
53,2
54,2
56,2
57,2
61,2
65,2
6,1
11,1
12,1
13,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
28,1
29,1
31,1
32,1
34,1
35,1
36,1
39,1
40,1
41,1
44,1
45,1
46,1
50,1
51,1
57,1
61,1
