Value
"(0.24933447065587175, 0.055238254550713045)"
"(0.2721968622643087, 0.04505399712211592)"
"(0.30433999095244046, 0.04457534848427878)"
"(0.21741804987717117, 0.05288296118437781)"
"(0.21877259339438773, 0.04234267258643451)"
"(0.2337800507557593, 0.05082431033617105)"
"(0.2932822560400214, 0.04357220541148885)"
"(0.2945460867332891, 0.04966220107135123)"
"(0.29544313471635225, 0.049215013741167296)"
"(0.2859430677800105, 0.04811759182604605)"
"(0.2698293826204771, 0.03525373088812202)"
"(0.2601609559710818, 0.04975707480301177)"
"(0.2664380055879153, 0.036095812660986895)"
"(0.26867552124240146, 0.04039922826215425)"
"(0.23717059919794295, 0.05686164568004648)"
"(0.2350375514608848, 0.05655539816980845)"
"(0.27551622516665064, 0.04635287096129038)"
"(0.28783685409120496, 0.046693469256605)"
"(0.2468150697745762, 0.040149713819087926)"
"(0.2507158860173848, 0.03804468631523765)"
"(0.3057494404854535, 0.044361615713117045)"
"(0.2790701617261683, 0.04038251858457676)"
"(0.21455885403008096, 0.046936144629283305)"
"(0.259560355655608, 0.0462537862783506)"
"(0.2756879523110637, 0.035356047860286025)"
"(0.23310983919114225, 0.04592818928878577)"
"(0.22589552855530304, 0.03980065972417202)"
"(0.279471603865616, 0.05409970766446823)"
"(0.25803987623447905, 0.04976434972844535)"
"(0.2911971067836479, 0.042126422622556406)"
"(0.2600399611671095, 0.053077763320156374)"
"(0.2649120454895473, 0.05071612551389572)"
"(0.2785365743330531, 0.03760882180040523)"
"(0.30548645455512424, 0.04585109338070381)"
"(0.22032438525730821, 0.04114965016970025)"
"(0.30273588638080473, 0.04787340202713662)"
"(0.24078643247602946, 0.04980332149570858)"
"(0.2765903637440186, 0.03633318616474036)"
"(0.2721065491575546, 0.04814137165531843)"
"(0.26796691020094343, 0.047077789352507615)"
"(0.25379130814502765, 0.03382878218674058)"
"(0.27143922877418536, 0.05207361662630272)"
"(0.24066455511933918, 0.04792310708932477)"
"(0.23799725247056494, 0.050351206158565906)"
