i,j
51,20
55,20
70,20
77,20
85,20
88,20
93,20
94,20
95,20
109,20
113,20
114,20
119,20
121,20
126,20
129,20
147,20
81,19
83,19
85,19
88,19
89,19
90,19
93,19
94,19
100,19
101,19
103,19
111,19
117,19
123,19
130,19
134,19
137,19
139,19
158,19
59,18
62,18
71,18
76,18
77,18
81,18
91,18
97,18
99,18
100,18
113,18
118,18
119,18
121,18
126,18
137,18
141,18
144,18
42,17
73,17
88,17
91,17
96,17
97,17
101,17
103,17
113,17
119,17
120,17
125,17
132,17
136,17
144,17
147,17
44,16
50,16
51,16
69,16
73,16
84,16
88,16
96,16
101,16
102,16
107,16
114,16
116,16
119,16
124,16
132,16
139,16
12,15
54,15
61,15
62,15
65,15
67,15
68,15
73,15
78,15
81,15
89,15
90,15
92,15
94,15
95,15
101,15
102,15
105,15
115,15
116,15
120,15
121,15
123,15
128,15
129,15
131,15
137,15
54,14
65,14
70,14
78,14
84,14
89,14
90,14
92,14
97,14
98,14
99,14
100,14
103,14
104,14
107,14
108,14
111,14
113,14
115,14
117,14
119,14
122,14
128,14
137,14
24,13
51,13
56,13
69,13
72,13
73,13
83,13
90,13
95,13
97,13
102,13
105,13
106,13
108,13
114,13
116,13
119,13
120,13
140,13
145,13
148,13
158,13
51,12
54,12
68,12
74,12
83,12
86,12
92,12
95,12
106,12
111,12
114,12
120,12
121,12
123,12
125,12
135,12
62,11
66,11
67,11
74,11
76,11
79,11
82,11
87,11
88,11
89,11
90,11
91,11
92,11
96,11
100,11
105,11
107,11
109,11
112,11
114,11
119,11
126,11
134,11
135,11
68,10
70,10
72,10
73,10
79,10
80,10
86,10
94,10
95,10
98,10
99,10
104,10
106,10
110,10
112,10
115,10
116,10
120,10
126,10
48,9
65,9
71,9
74,9
79,9
88,9
90,9
93,9
94,9
102,9
103,9
104,9
105,9
109,9
110,9
115,9
116,9
117,9
132,9
134,9
138,9
142,9
143,9
147,9
152,9
53,8
60,8
65,8
76,8
83,8
84,8
85,8
87,8
88,8
89,8
90,8
99,8
102,8
105,8
108,8
118,8
121,8
146,8
147,8
68,7
69,7
72,7
73,7
76,7
78,7
81,7
87,7
89,7
92,7
94,7
101,7
104,7
105,7
108,7
111,7
117,7
126,7
129,7
130,7
138,7
53,6
61,6
69,6
74,6
83,6
85,6
88,6
95,6
99,6
103,6
107,6
108,6
109,6
111,6
112,6
119,6
126,6
130,6
133,6
141,6
143,6
161,6
60,5
61,5
66,5
75,5
77,5
79,5
87,5
93,5
98,5
99,5
109,5
112,5
113,5
114,5
117,5
120,5
123,5
124,5
126,5
132,5
133,5
43,4
62,4
68,4
70,4
71,4
75,4
80,4
89,4
96,4
97,4
98,4
102,4
105,4
106,4
109,4
110,4
113,4
114,4
116,4
120,4
123,4
128,4
143,4
144,4
173,4
44,3
73,3
75,3
78,3
83,3
95,3
96,3
97,3
99,3
100,3
105,3
107,3
117,3
118,3
119,3
120,3
121,3
126,3
58,2
61,2
83,2
85,2
86,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
101,2
107,2
110,2
113,2
114,2
115,2
118,2
119,2
120,2
123,2
131,2
132,2
141,2
142,2
143,2
166,2
65,1
68,1
77,1
87,1
91,1
97,1
100,1
104,1
105,1
113,1
131,1
165,1
